"modelName","RMSE","RMSE_rate","RMSE_pred","vol","stoch","cond"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","9.5652","9.3254","9.8051","H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","9.6014","9.3861","9.8174","H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","10.1982","10.4865","9.8938","H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","10.2153","10.4875","9.9283","H","H","HVHS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","13.4701","13.6743","13.2574","H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","9.5782","9.3569","9.8001","H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","9.6334","9.4182","9.8493","H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","10.1201","10.3368","9.893","H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","10.1484","10.3326","9.9559","H","L","HVLS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","14.0227","14.1902","13.8487","H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","10.5801","10.2977","10.8621","L","H","LVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","10.6163","10.3295","10.9027","L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","11.2301","11.5604","10.881","L","H","LVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","11.2322","11.5619","10.8836","L","H","LVHS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","15.4208","15.7217","15.1059","L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","10.4868","10.5038","10.4693","L","L","LVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","10.5419","10.6168","10.4646","L","L","LVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","10.9335","11.37","10.4668","L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","10.9611","11.3667","10.529","L","L","LVLS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","15.4578","15.7338","15.1694","L","L","LVLS"
