PID,par_val,cond,order
501,3.124633212035269,,
502,5.9347603517678165,,
503,2.7685490671382302,,
505,3.6792261365572956,,
506,3.4657912096220276,,
507,5.399781626863333,,
601,3.902211149174713,,
603,4.699167791273054,,
604,4.513521229108275,,
605,5.314760026298487,,
701,4.920289855072463,,
702,4.163277590900626,,
703,4.208752932136217,,
704,3.3967370814677706,,
706,3.0277102781621763,,
707,2.1793823309193505,,
708,3.828711144119503,,
709,6.701700599974235,,
710,3.566712182625003,,
712,3.2128237706462115,,
713,3.354104339176722,,
715,2.212356381913157,,
716,3.8939674048370363,,
717,4.15548832496888,,
719,3.2457865544736566,,
720,3.028719165583039,,
721,4.114300892097256,,
