"E0","alpha","gam","eta","cs"
138.63797383226,0.792922061298082,0.055376893191255,10.8502372287699,11.6659681764033
104.742450982793,0.742077408734387,0.345579505180307,12.9788425352064,8.76714416680079
104.151766948912,0.671398701424323,0.541378436739413,10.330438368862,15.8021315357879
97.0568384416234,0.782844656185291,0.362273463288824,7.28241929169836,15.8245752121784
27.2919310758208,0.834103862627367,0.08532122944646,7.48040991692065,2.05778311403131
122.571177793252,0.851920822492111,0.21314423339429,8.97786342405377,7.69182255587385
57.1054109543749,0.754919048530804,0.276390182315768,6.31720917299392,14.3777137033024
90.609855291606,0.714828303659683,0.133751611391299,13.800457768537,9.84159697271698
219.552422160956,0.847003773803129,0.132702455036065,8.43292748258782,2.40323207265654
126.391585922744,0.836261789636373,0.101058339092235,13.7493480925234,16.8157876746946
135.315434366857,0.784431118832445,0.457141855909955,9.9424294767887,16.9796367936575
88.7188021385833,0.857403568262081,0.226928710402696,15.7570920840826,21.2302345024311
104.996297434889,0.830761732411308,0.0445360571220228,11.8613874298619,17.9113762769784
107.534670418203,0.840399268709013,0.0570536367341794,8.00959351502815,18.4307181035355
111.162627729868,0.823819084598987,0.333740744645084,9.39680618099312,13.0825174201864
116.584008025665,0.818247784762867,0.0878807774152205,5.12706285941489,11.8819262897503
127.96473825311,0.816555517910675,0.117646960903891,12.6187344259527,17.405312991312
54.2331211260586,0.831614614600169,0.222183036029774,11.0185675462843,15.908277552958
112.195570198688,0.812846114376089,0.236280064013681,16.2097563824012,7.84835589844359
225.083603455038,0.843631752140656,0.0998290236273046,11.0502453866205,12.0581720401975
85.6374223510792,0.822950040755074,0.053822604047273,6.90395492891762,11.8273581042445
77.5405699236044,0.824734601364213,0.33428256331925,4.82320030726121,11.2291951701932
174.45185332358,0.810614667584583,0.203288687177928,9.85169458772788,1.93798378003166
107.709157524684,0.881962034029172,0.106979681099517,7.58763341221283,14.1086284046342
163.203003280308,0.819045919612346,0.0842538639497501,9.30424750855275,3.88627375134403
155.099707604344,0.790795658414788,0.0485605567994256,6.38395011741494,1.47748594888315
65.4591433532276,0.854078284806102,0.308115872502108,7.99974066045004,11.2901261282499
