"eta","C","cs"
15.5617908484389,20.5236226836766,158.674544934918
20.2821248784887,65.8623913951695,156.768247771235
13.0842750520561,57.1784388020226,160.551083716858
12.0158233572952,51.7489786615294,172.410333658852
12.2735858325427,26.2108267085188,160.78980399108
18.8040802066213,32.5640192563282,158.645983429097
12.3029234947715,29.7157641240574,159.543744519481
18.2204902319492,51.0275629267562,157.594401038892
15.5905547002639,28.3530907511828,157.571997545291
19.3341019441448,36.943460372878,167.619634048232
17.7363042931843,49.1989001371331,159.600545899174
19.9069140841136,41.3433887803957,180.970873180469
15.8145638326466,39.4077535431617,169.33756905544
11.2568897428967,29.8572121300471,163.594926729097
12.3296842626699,66.9932242139883,158.190346697604
7.43052005842333,45.6460241294652,161.213544947291
16.1673866030189,36.7093780737046,178.41005855246
20.452881981458,39.6029475327725,166.033788226834
19.6783115767561,44.2380362495805,153.606610155533
15.4862024593382,18.4161321333042,150.095983655176
10.7145572245275,29.2931824814033,147.050768739877
8.32038020989065,27.7040361249818,159.17531247405
15.5295411378611,53.5554076204924,143.796861983919
13.3411115630906,28.7589620181208,168.897130866206
13.7306100762731,18.5849168297517,126.565911619033
11.8391078823597,28.8360520389995,142.810449383115
13.9980045693114,25.6334193175569,163.498346858925
